mean_rr,mean_hr,sdnn,rmssd,pnn50,lf_power,hf_power,lf_hf_ratio,condition,label
704.390243902439,85.99523330905576,72.38459516171062,51.681915678148634,15.0,,,,Baseline (Non-stress),1
781.3513513513512,78.13843937549431,105.00348009886953,78.43603052394826,30.555555555555557,,,,Baseline (Non-stress),1
814.2857142857143,74.38200166937963,77.93477742197463,57.32167399617609,29.411764705882355,,,,Baseline (Non-stress),1
875.3679653679654,68.82885680139029,55.92568673347702,48.13021771343712,28.125,,,,Baseline (Non-stress),1
841.5546218487395,71.70211190100625,62.28028059925893,73.79877033800335,30.303030303030305,,,,Baseline (Non-stress),1
766.5037593984963,79.0275765562132,74.3945574523778,73.35322065659408,40.54054054054054,,,,Baseline (Non-stress),1
834.1596638655461,72.1236117316895,44.215651388540046,50.61098558091771,36.36363636363637,,,,Baseline (Non-stress),1
823.8655462184875,73.20073385851366,58.538718996401045,53.131963692891205,27.27272727272727,,,,Baseline (Non-stress),1
829.7142857142857,72.5150769936718,43.83314428392202,40.631273178969636,17.647058823529413,,,,Baseline (Non-stress),1
820.8163265306121,73.66645795100438,71.79091767109757,61.20194663005848,38.23529411764706,,,,Baseline (Non-stress),1
837.6050420168067,72.36752330988095,85.78908755419297,61.05088766229155,39.39393939393939,,,,Baseline (Non-stress),1
851.7226890756303,70.7131607927761,53.06298915234287,49.484666515606534,33.33333333333333,,,,Baseline (Non-stress),1
808.6111111111111,74.43952470917777,45.841005630484645,50.99534078071357,28.57142857142857,,,,Baseline (Non-stress),1
853.5294117647059,70.59025850175895,55.540560868257565,49.684844743193324,27.27272727272727,,,,Baseline (Non-stress),1
848.8655462184875,70.90017326034909,47.76356349503828,63.721429141609065,24.242424242424242,,,,Baseline (Non-stress),1
823.0204081632653,73.19836006958091,52.94085062496191,55.84986735054282,32.35294117647059,,,,Baseline (Non-stress),1
784.2084942084942,78.52413793182164,104.94569697514669,101.48891565092221,27.77777777777778,,,,Baseline (Non-stress),1
856.890756302521,70.31529123120598,55.55195642360808,74.45950367196139,45.45454545454545,,,,Baseline (Non-stress),1
849.9579831932774,70.78569058239843,45.732525168315185,59.07972873632044,42.42424242424242,,,,Baseline (Non-stress),1
810.8163265306122,74.2720854121298,49.566289073515414,58.50118764249349,29.411764705882355,,,,Baseline (Non-stress),1
834.9579831932774,72.33400009255992,68.35665797447541,60.438001372438414,45.45454545454545,,,,Baseline (Non-stress),1
847.6050420168068,70.96552934501211,43.07121224735908,54.96386624369834,27.27272727272727,,,,Baseline (Non-stress),1
859.5798319327731,70.05213144127092,51.168811779438144,41.24305379944327,30.303030303030305,,,,Baseline (Non-stress),1
852.0588235294117,70.92593859332239,69.23577097315696,54.8827952287528,39.39393939393939,,,,Baseline (Non-stress),1
843.6734693877551,71.61469363715904,70.29716183530546,76.73757529518947,38.23529411764706,,,,Baseline (Non-stress),1
845.5042016806723,71.27726012812441,56.546818243160295,64.1836611794583,45.45454545454545,,,,Baseline (Non-stress),1
883.5497835497835,68.3211138957652,68.82497879133496,52.231456039440424,31.25,,,,Baseline (Non-stress),1
850.9243697478992,70.65280221134515,38.854791043135364,44.30665612936156,21.21212121212121,,,,Baseline (Non-stress),1
862.5541125541125,69.88115268239068,59.86885920936109,69.25210893421753,40.625,,,,Baseline (Non-stress),1
847.8571428571429,71.33267470036137,77.66398454869677,82.46736203411506,54.54545454545454,,,,Baseline (Non-stress),1
834.7755102040817,72.83973923558605,94.34104746159863,74.68702203531883,44.11764705882353,,,,Baseline (Non-stress),1
871.9913419913421,68.99041028048272,46.98830102164189,66.68728422683758,31.25,,,,Baseline (Non-stress),1
830.6302521008404,72.45766571902264,46.82655423348642,52.85421777328163,45.45454545454545,,,,Baseline (Non-stress),1
836.470588235294,72.19730737147052,67.72131340056318,55.78029168095454,39.39393939393939,,,,Baseline (Non-stress),1
791.9841269841271,75.98077092678952,43.17741254031682,44.71614392696213,25.71428571428571,,,,Baseline (Non-stress),1
816.2448979591836,73.87619944501468,57.447805753297786,64.15766893047967,38.23529411764706,,,,Baseline (Non-stress),1
789.9227799227798,76.5173740116278,67.59552403195694,44.37778447716876,22.22222222222222,,,,Baseline (Non-stress),1
756.578947368421,80.00705951242482,73.2671026918994,50.86618721365617,37.83783783783784,,,,Baseline (Non-stress),1
712.5783972125436,84.55930087625012,47.283577327840476,37.85781670559313,17.5,,,,Stress,2
750.5494505494506,80.18405489420144,41.44362623091925,30.494492468173885,13.157894736842104,,,,Stress,2
746.6666666666666,81.15222784640605,74.74218726946067,50.96122238423851,28.947368421052634,,,,Stress,2
761.4661654135339,79.48249661393834,73.28738649684038,39.80232457241535,8.108108108108109,,,,Stress,2
751.5789473684209,80.6352742785046,74.33306292761813,41.78715801221714,16.216216216216218,,,,Stress,2
786.911196911197,76.94347035151225,77.38828794059008,24.22611735100699,5.555555555555555,,,,Stress,2
753.7593984962406,80.43666993701027,79.4301415448765,40.064757288836134,5.405405405405405,,,,Stress,2
694.5296167247387,87.17808366555597,64.3221344761966,79.46151680569169,17.5,,,,Stress,2
782.8571428571428,78.5268287762105,121.39567381497271,126.86463482197517,25.71428571428571,,,,Stress,2
837.9411764705883,72.03466105730485,66.32614752083951,46.826301749761086,27.27272727272727,,,,Stress,2
788.8416988416988,76.36306163922735,50.02815288802406,25.442790745258858,5.555555555555555,,,,Stress,2
791.2698412698414,75.99599337728192,37.76986902485689,36.26835515991636,5.714285714285714,,,,Stress,2
832.5630252100841,72.17500491893756,32.89717006993693,31.13101963357605,12.121212121212121,,,,Stress,2
804.6825396825396,75.11331760442069,68.35221005477116,46.29352415844735,22.857142857142858,,,,Stress,2
799.4444444444446,75.16616496481217,31.285905838157028,25.782223179353082,0.0,,,,Stress,2
825.3469387755102,73.0950590379855,59.17534817463924,41.866706682653955,29.411764705882355,,,,Stress,2
775.4054054054054,77.97189170808785,69.073176825871,47.49865733870371,33.33333333333333,,,,Stress,2
805.0396825396825,74.77881005333585,46.999145344392566,41.90437538473565,25.71428571428571,,,,Stress,2
811.984126984127,74.12956322103464,45.780917992314045,37.720778661861466,25.71428571428571,,,,Stress,2
806.6666666666667,74.50709025105049,34.09641619976563,30.57562435445471,14.285714285714285,,,,Stress,2
972.4285714285714,62.128919233631514,82.12959841592185,103.92304845413267,62.06896551724138,,,,Amusement,3
906.25,66.53640760316168,65.99693770700104,80.89891611168079,41.935483870967744,,,,Amusement,3
903.0803571428571,66.59398817248862,43.4734629959296,35.62200058403448,19.35483870967742,,,,Amusement,3
875.4978354978356,69.03645579890019,76.01869501209548,79.60521211527775,31.25,,,,Amusement,3
858.1932773109245,70.41104939510335,77.33846358523903,105.68386130581672,39.39393939393939,,,,Amusement,3
929.2626728110598,64.82808597505881,60.70881876534295,52.53440725446734,30.0,,,,Amusement,3
920.2764976958524,65.78846245537312,88.20308921027969,110.36766015533382,40.0,,,,Amusement,3
921.0599078341014,65.431975707132,62.411807427647695,75.81978274686834,53.333333333333336,,,,Amusement,3
817.8367346938776,74.08796877583359,82.37936097758103,49.90687606444032,38.23529411764706,,,,Amusement,3
952.4285714285713,63.35971606948999,74.02868569290368,93.13977449642121,34.48275862068966,,,,Amusement,3
879.3939393939394,68.83202887924404,85.47513535023865,84.03564598382263,43.75,,,,Amusement,3
954.4761904761906,63.408657875342705,87.80434821558757,107.73302158988534,44.827586206896555,,,,Amusement,3
924.7465437788018,65.13315516346084,57.31330186780106,67.89147001413562,50.0,,,,Meditation,4
898.8839285714286,67.19078829270545,74.28813747820206,59.077280593227904,35.483870967741936,,,,Meditation,4
910.7373271889402,66.20329044452001,63.968392458357,62.73256052210737,50.0,,,,Meditation,4
908.2589285714284,66.56166762686992,79.31880355315097,76.90054108537319,38.70967741935484,,,,Meditation,4
891.1160714285713,67.64098578008537,60.21765915953871,75.37835222529164,41.935483870967744,,,,Meditation,4
917.8571428571429,65.588046170763,54.60010827432614,62.27315647304644,32.25806451612903,,,,Meditation,4
867.6623376623377,69.45684891225748,57.478720754011434,71.3048034847583,43.75,,,,Meditation,4
931.1981566820276,64.9044494571839,79.09014642668858,64.6818482775395,43.333333333333336,,,,Meditation,4
881.2053571428571,68.53034652806775,71.53090308012013,51.7685892549049,32.25806451612903,,,,Meditation,4
817.6734693877551,74.07352683860029,81.10512623943822,77.05760929369677,38.23529411764706,,,,Meditation,4
820.2857142857143,73.33545765422797,42.54480019943218,41.4915487713797,20.588235294117645,,,,Meditation,4
831.8487394957983,72.3318814380355,45.21443365488023,50.408964462747655,33.33333333333333,,,,Meditation,4
875.8441558441558,68.83971273525358,62.96901938729396,80.62574157228963,40.625,,,,Meditation,4
870.7359307359308,71.72375554362759,137.11733449828077,150.20054620950165,37.5,,,,Meditation,4
846.326530612245,71.59194279904439,84.17831479179634,95.50994115558764,44.11764705882353,,,,Meditation,4
940.414746543779,64.32804115844509,85.53806770667337,69.2540428349103,50.0,,,,Meditation,4
907.9910714285713,66.50409964386856,75.11138042963981,58.61131607986258,32.25806451612903,,,,Meditation,4
858.4873949579832,70.20097460189217,58.23198140361145,70.4517624682265,45.45454545454545,,,,Meditation,4
895.4017857142857,67.32555637155805,61.46632038607661,77.59680399002755,45.16129032258064,,,,Meditation,4
891.5625,67.50913970017521,50.59404760504168,58.45272899805965,29.03225806451613,,,,Meditation,4
904.2857142857142,66.56246685482063,50.81300834417167,66.9548303616383,25.806451612903224,,,,Meditation,4
928.8940092165899,64.82739441730381,57.526935042910154,73.23431781700741,33.33333333333333,,,,Meditation,4
950.4285714285713,63.29996754250035,50.78296189530457,58.69445208141247,37.93103448275862,,,,Meditation,4
949.8095238095241,63.58670622614194,74.92218185112692,81.08257665154208,34.48275862068966,,,,Meditation,4
916.3133640552993,65.98512493763619,81.49852817296961,69.94993350446381,50.0,,,,Meditation,4
